px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	v_true	yaw_angle_true	yaw_rate_true	vx_true	vy_true	NIS
99.967	16.9479	1.03395	-0.648469	-0.00922836	99.9969	16.9882	100.117	17.0001	1.07419	-0.496971	0	0.944242	-0.512134	1.06386	0
100.053	16.9598	1.11445	-0.582599	0.0260774	100.441	16.9521	100.117	17.0001	1.07419	-0.496971	0	0.944242	-0.512134	0	2.00814
101.166	16.5079	1.23722	-0.344353	0.133984	101.204	16.5368	101.065	16.497	1.11655	-0.478072	0	0.991362	-0.513687	0.647635	0
101.15	16.5099	1.12048	-0.359432	0.120235	101.169	16.4353	101.065	16.497	1.11655	-0.478072	0	0.991362	-0.513687	0	0.145955
102.358	16.3668	1.26483	-0.0224341	0.228388	102.387	16.3992	102.063	15.9949	1.16773	-0.454646	0	1.04911	-0.512803	0.60623	0
102.279	16.36	1.06778	-0.0512156	0.21106	102.081	15.8359	102.063	15.9949	1.16773	-0.454646	0	1.04911	-0.512803	0	1.33933
103.039	15.4946	0.702592	-0.667809	-0.191204	103.003	15.353	103.119	15.4967	1.22724	-0.426927	0	1.11708	-0.508169	7.08385	0
103.025	15.5185	1.01972	-0.613079	-0.138618	102.776	15.1195	103.119	15.4967	1.22724	-0.426927	0	1.11708	-0.508169	0	3.01911
104.054	15.2152	1.08478	-0.324095	0.0718968	104.114	15.2708	104.244	15.0064	1.29446	-0.395193	0	1.19469	-0.498349	1.86845	0
104.037	15.2053	1.21469	-0.3247	0.0744143	103.905	14.7607	104.244	15.0064	1.29446	-0.395193	0	1.19469	-0.498349	0	0.702983
105.503	14.4802	1.73925	-0.469191	-0.0322868	105.541	14.4412	105.447	14.5293	1.36873	-0.359759	0	1.28111	-0.481861	1.38971	0
105.442	14.4656	1.58059	-0.511199	-0.0631559	105.316	14.0026	105.447	14.5293	1.36873	-0.359759	0	1.28111	-0.481861	0	0.746593
106.815	14.0173	1.47125	-0.324485	0.0636264	106.831	14.0482	106.737	14.0724	1.44931	-0.320981	0	1.37529	-0.457255	0.610578	0
106.765	14.0087	1.50326	-0.341693	0.0572883	106.439	14.2401	106.737	14.0724	1.44931	-0.320981	0	1.37529	-0.457255	0	1.17031
108.089	13.65	1.40471	-0.226002	0.0885728	108.084	13.6604	108.122	13.644	1.5354	-0.279245	0	1.47592	-0.423202	0.0685266	0
108.111	13.6505	1.52829	-0.215672	0.0981806	108.131	13.6844	108.122	13.644	1.5354	-0.279245	0	1.47592	-0.423202	0	0.151875
